GeoCode,OperationName
58986-020,OVWR81
62802-644,AWVC48
58411-122,IYAT94
0172-5412,PJRW49
63404-1116,JHBV13
66472-030,EBPD77
33261-905,XIPE67
51079-624,LKZF77
68788-9700,NRPO59
43538-250,CENZ15
54575-412,MVRC50
54973-7516,IQFK19
61589-5317,MOWQ96
43353-690,HEKC81
76230-727,GIZO95
43063-223,PHRK71
41163-094,NXBK64
50474-400,ZSZR66
33261-966,LZVC11
0591-0240,IODH18
41163-215,YQPT88
42254-077,DSLT17
48951-9176,QFZF67
54868-0108,XVGB35
51079-699,OPHU05
59970-176,GCVJ05
16590-867,OKAK31
59054-120,XHNH49
39822-0412,XKRR38
47682-008,PSOX19
63354-200,CYTK67
59779-563,JMIS65
0703-4764,UCFJ29
11523-4322,VFAN84
0143-9777,YXOC87
52686-304,TSHZ70
55154-5925,VAIH73
52686-296,NNEI05
53145-047,DKVO41
63629-5304,AWKG17
51386-740,PXXB20
49817-0048,FFOQ19
36987-2196,BYMZ80
55315-550,BETY12
49999-227,IITR10
64117-250,JHJH46
49884-907,RVUT17
52125-381,IIOJ28
63304-453,OMUS04
0409-6609,RBWJ35
48951-7098,DJKT49
33261-591,HPAS68
63824-191,MVGB27
49349-478,QXWZ60
42291-693,AVEE02
53329-061,UJEW29
0126-0288,TATZ65
55154-6926,ZJYD32
36987-2574,AZED30
68645-461,PKAC33
48951-5064,XQII86
64942-1074,OPXE47
98132-879,GCFB05
55154-5094,EMTS67
58232-4003,GIWV79
0944-3052,SUVD44
50436-9803,JSIY78
0409-6030,OJXU99
52959-630,DUIG31
13537-163,PDAB47
66129-020,GMQB79
42416-0021,ADAM96
49348-973,AYAH02
11673-367,NBMI69
68084-256,ELSZ57
68084-311,AZCP04
52389-173,QFFE16
70253-514,ARRC28
33261-458,LKNB44
59779-643,ILQM47
43406-0011,HRZU85
52125-135,PSSH49
54340-771,XRKA81
55289-568,VTZH89
53489-149,IXLY37
58892-070,KAKE16
76436-128,BRUT64
13107-155,MIDP28
65517-0010,EONN49
43742-0210,GDDF86
55154-6223,WBSW49
33992-8000,FROA78
41250-478,SONX64
36987-2245,NBOW60
0363-0818,OHIX61
55154-0741,TNMG65
60505-0166,UJCE88
0009-3359,EKNK68
68196-117,TOCC34
10812-147,KNQE42
64735-020,CGYR21
54340-969,AFNN33
0268-6526,IJPY42
13533-690,QAPX19
10191-1562,NCDO69
36987-1688,QLYY68
57955-2071,ZKER39
60927-115,VUKB62
23155-030,OWJZ87
18027-030,EEUO58
66715-9713,MPFV49
0527-1370,GYGV49
0363-0818,YERW14
68151-0528,PULY24
30142-923,EGSE20
63868-131,JCVO18
0067-7918,ISWN81
0904-6221,QEKU27
55289-077,DVII74
67046-013,KHDC22
63940-664,IKIV84
41167-0404,DFQA07
60429-620,BKOT04
41163-618,KSPV93
75990-4019,KVAI42
21695-488,XSMW72
55315-529,FFDX50
64942-1145,ZBLX17
58737-107,YSDU80
51525-0442,ZZFK51
51991-650,XXAJ81
0182-1113,XAZI53
24794-107,OACL29
54973-2033,FTXT81
57955-5149,JTCT32
58468-0080,MTED43
54973-3093,CKDM27
0472-0383,THJT57
61245-157,KGQV30
37000-091,LKYT17
50436-1006,LEDK74
76472-1161,ANTS75
59535-0901,DITG60
0093-7316,LNKU23
42291-650,AKJD57
36987-3385,VTOK81
54575-909,HIWH70
50419-106,HFXF92
33342-076,LSGV01
37000-512,UYEU12
52959-702,VWMB21
0185-0017,KGRE03
67457-366,XWHM67
21695-562,YWWM64
53119-575,DMGF93
0363-0288,OKRT23
98132-142,CQWQ02
49999-854,QISY23
56062-440,QJBL11
56062-393,KRCV26
57955-7800,TSOE90
35356-901,YFKY59
0536-4306,KOKT46
10702-027,XEFK69
76237-296,JJFG42
51672-4038,YSON09
0527-1342,ZDID44
57337-028,KAZP59
36987-1327,SDYA54
66993-023,LNMT59
16714-384,EXEF40
60760-269,KZLR07
60760-986,WMEV94
24357-701,PFAK09
36987-1717,HIPO85
35356-101,UELQ06
49781-099,JYLT27
22431-110,GHUX24
51143-296,VJMA06
68788-9739,VYHR05
49288-0231,LXBN59
0363-0536,QCRK27
52685-451,FFYN65
0049-3920,CQGX99
60258-890,DWNT88
55319-638,PZZO25
42406-007,XOMR43
0093-3167,HUEJ78
0113-0355,UKIY12
0409-3217,EHYJ65
55154-5610,GFUB11
57881-332,MGRT96
68645-447,SWII80
59886-347,BNZS69
43063-051,UWOL66
21695-695,PWZS20
62670-4358,POWV48
16729-150,YCML15
31722-271,MCSC48
65044-5002,ACHE02
0591-0397,WVEG50
65044-1746,QHAK05
37808-445,WXWS73
54569-0347,AZVT07
55154-8277,PZTB53
0781-1973,PAJV24
76237-278,ZYCG45
49230-209,QQWS73
59779-066,QUSF44
24236-214,YEZN43
0378-6898,PTPW21
42248-131,QDJS32
37205-283,YCNN43
0132-0334,TMIQ52
55312-248,RXSF47
53808-1041,ULPT11
13811-662,AOTH32
49349-982,GGXO40
56062-485,EHOI97
76237-222,ZKLA33
55154-3955,XKST62
98132-734,FHMA28
52125-680,ECBI87
31722-334,VGYT18
68220-089,RMXX69
53329-151,RZUQ80
63941-670,NFNB40
41163-074,EHJH19
55289-432,LLSZ42
63739-228,WHBT68
49884-212,LQJA29
54569-0161,ERTU07
52686-261,MWWS74
17772-122,QKJU05
61357-152,TTGX39
66184-125,MEGY49
24470-907,VSJN34
0135-0560,TSKR59
0078-0401,LXRF79
10812-612,TVKW36
35356-639,VIIS66
59535-5301,ORYH27
63629-4311,ZJSD31
0517-0960,QZZP41
52427-285,GBWA78
51389-105,ZEUJ70
53666-100,HQHP17
52959-549,UPTC31
61159-000,CNVF23
60429-762,EWYC24
36987-2675,UCBD58
0363-0878,PLEX05
36987-3262,UJQI20
0019-3183,RUJH99
0615-1377,IXEP06
59260-135,BGXX13
37000-392,XQDK42
59262-257,NQYD60
21695-087,DZGI28
61703-361,UQLI65
59779-484,DGUY99
55312-017,ZLCF62
47242-0031,ISQG01
10812-701,DBQO32
54738-903,RWSH39
63323-482,BDJS03
60793-205,CZLH35
59762-1004,NAVA67
41520-121,RGMK31
66908-106,XEQH63
67457-494,YKGH21
55154-4029,BBVX26
50845-0131,JJNE79
68703-084,QSNG03
48951-2099,LMSS75
0641-0928,HWWG12
37808-613,JRVB16
51772-314,NGDE99
65365-001,VTIK44
54569-0554,GLMS76
59779-099,OZZE94
60429-792,QQBC15
50563-170,VQMQ36
0268-6187,BFYV75
52915-010,VSMB88
49295-0001,XHLU93
62756-160,WBAK83
0113-0306,ZKBH83
49035-158,OAEU09
44911-0081,NMCL72
0615-7687,UEBM01
50268-306,JESE97
45567-0040,JGJC13
0078-0503,KLFR37
53603-4001,ZKJJ26
0378-2474,ZPFZ77
61941-0122,NRKB51
10742-8130,ZAXF99
58892-326,EMWB22
10596-341,VNRX84
59779-246,MSDT58
65342-1380,TUUZ68
65862-558,KJST44
42291-756,VQVJ76
55154-6344,XGDH19
60681-1002,IQNT19
60512-9087,HJSI10
32909-715,JVQC12
58668-0681,OTFK68
36800-404,ZBEH72
42546-279,DUUL31
63304-615,RPUM77
41250-050,PMPI94
42367-202,YYUP07
0904-6018,YJRA46
54973-2907,PYHF36
49348-047,ZLQX33
49288-0900,ISQK81
51785-899,TMEH47
0955-1037,WSRA49
66613-8159,KMGF82
36987-3357,BRXP10
46672-092,UUGH68
0781-5371,SEYV22
0409-7338,LURT37
41190-831,CZBK37
0363-0724,SMOY48
36987-2821,IZJR30
21695-271,LRPN37
55154-2359,SURH51
54868-0708,JBOQ22
0069-0181,WOMM96
59617-0010,UFKI72
0641-6054,UAHR20
60505-3130,NTSN97
68084-565,HBUH99
0037-8120,PKRD72
54569-4605,PWCJ59
64220-423,NOVE14
63776-250,BFOR64
52768-100,ZGKU44
49349-139,DUHM04
64942-1038,ZSNU23
36987-2486,IHHU55
55648-105,TXDE56
98132-177,YDDB96
76461-023,SZWG88
58980-918,IQXG48
64725-2434,FQTE00
0074-3333,YTMZ81
0781-5420,RIAF82
61995-0029,CRPV43
68016-080,RCMO98
65162-347,CKVV47
0409-4888,PKFZ07
0469-0617,FQUM01
69221-101,QQFW96
0615-2573,FAXG38
43063-057,YOYO38
65785-160,NSTF42
18860-852,NSXN07
50111-333,NANJ15
68180-723,KCHW06
58892-721,AHTH66
69244-2001,NQKW65
37012-664,JWQQ67
31722-731,OTGG29
51808-127,JZXB27
16781-154,JTVJ54
49973-667,MRSR60
57520-0051,ABUZ01
63187-091,EEQK74
0009-0059,KSRE78
0288-1106,YMBF03
52125-244,JGFP34
37808-363,VHAY11
17271-245,XMPV18
0280-6000,HWIO50
36987-2175,RECN03
36987-2070,WBMY36
29500-907,HGJD25
63629-3816,CYAK41
36800-340,YSCQ15
0228-4025,DZTN37
59316-106,DRRM84
63868-978,DVTI79
54868-5456,GBYD66
0087-2772,DEHC87
0115-1233,FJAX62
0228-3505,KDZZ92
56062-003,NMJF41
43689-0003,RSLF60
0536-0940,CXPR94
21130-289,KSUU36
62839-0807,DLGI46
61727-301,ZUXY72
0363-0873,ETIQ59
50436-7216,IHNI76
63304-694,TJWE53
55910-500,LHRC89
13533-613,FUSP57
58111-105,PSZU06
68308-223,SNSV42
0268-0013,GDBU78
53489-332,LINB05
55221-0001,RSLO08
50563-130,MHBM01
42192-111,GZSL57
63629-2768,EYJD36
50810-2000,TKCS82
76237-192,DIFX09
68180-566,BEBQ39
54575-189,INVU48
10812-356,QOKD98
53808-0695,LIVU33
50001-121,OXSO25
55154-2021,NSWQ70
0409-4887,OFFB09
0955-1008,LJKY34
52261-2501,YJGJ70
49288-0933,GRUB98
49738-100,BLDU89
0179-0093,OBJO67
55154-2709,ZGZW26
67046-311,LXBI48
0268-0865,YUJO97
54868-5817,OVDT65
36987-2261,ZXIE46
52584-035,GYJZ99
51009-001,OCWG63
53489-331,PYPL25
21695-299,HSNG73
55714-2231,JFVP51
37000-065,RBBA69
49288-0874,KCSB26
51257-644,HMDE90
21220-121,FDPX65
24236-516,TPQP02
42421-821,DTPV63
51655-232,NTQY37
43353-578,QFSH09
10578-025,WSUA80
67457-492,YPWR41
0641-6053,IHON05
53808-0366,UBZH77
0268-1378,MLNW18
0363-1640,SVHW31
51531-4399,ARTW16
36987-2237,ZPRL10
36800-143,LBUD50
49349-712,REER17
43526-109,PVMY48
68258-6992,PIOJ36
36987-1777,TOAM71
0268-0941,BDJD53
55443-0085,NAPQ06
68151-0079,UTFI87
57955-1751,DEJA56
60681-1403,LMCE39
52125-326,TDXW06
49348-811,MCPT35
48951-4021,RPFC82
53187-236,ZAWN51
33992-0004,SPMP15
0186-0008,LXLR83
16714-343,NTTH08
37205-698,HMVB66
0187-0792,RBWC71
68472-131,HHDJ55
36987-1095,LUOP81
52125-122,JLXA06
15127-311,YXOB49
64117-204,EMTJ23
54868-4714,IGJZ07
0406-3249,CYCT07
52686-327,YNOO94
51824-473,EIOA10
55111-145,XLSC11
36000-029,VRXE88
43269-848,EROF27
36987-3313,AIEJ36
0078-0381,WMGX26
54868-5964,BSTD89
25225-018,YGZK03
63629-3545,IQTO51
51079-192,KDVA49
63783-008,ZOOI24
0555-9043,UIBS50
50436-4629,BUVX56
42291-693,ELJI66
68084-683,PCGW82
55910-258,QXXA30
16714-359,QXAB56
49288-0675,JSDZ74
58118-0212,QCNP99
14783-314,FCCI27
0378-4297,LXBF32
68180-780,YQIH44
43857-0316,XEDD86
51079-980,BOVQ38
42333-100,RKTR89
68084-459,EAUD40
0781-7066,JQLG73
0256-0210,AYLE98
55289-265,DRII58
11523-0934,VMHL71
37000-909,HTLH28
43853-0006,ZQND91
68405-004,YDIJ79
0179-0115,ZZAW68
57664-109,SFGJ22
24208-715,UYDJ91
34645-3110,RCLQ95
0135-0094,RJRH74
64679-713,QANQ96
68084-244,YKLP09
52083-231,KUBV96
0781-2144,AGZJ05
68084-658,LBUA18
0781-5634,TCGV23
49967-018,HVBB47
36800-579,ZAUV51
0703-1501,ZVEY45
36800-698,MXEW64
65044-0850,IRWQ96
42549-621,XQSS94
76237-225,MQJQ01
51991-362,TFCK64
36800-125,GKUX08
55289-470,UICN16
0603-0644,FPTM06
49999-102,QMIO86
42291-229,BVQH65
43742-0405,NGLT22
62011-0231,PZZC16
43857-0072,IZCH44
49349-314,YJDB97
44911-0013,PQHH90
68428-080,IKXN67
68084-022,BQHS93
72036-311,ZWHK82
61703-421,HBJO46
55154-3516,VIGO95
44567-801,TMSU35
65862-103,VGXB43
0031-8719,RIFX82
63739-066,GFDK87
53808-0742,SWIC82
0187-5102,HVRT27
55316-105,XYEU56
11716-0053,BZBG01
55154-3876,HEOE06
55264-011,AQYY93
54569-0409,JSVW09
0113-0648,VBSN75
37808-234,CWWU27
55111-478,KKWG43
10742-8123,AXXF07
75835-270,GCXB43
52125-725,JLKE94
68001-264,JRBS99
0068-0020,FGKA55
10812-972,CQWZ49
52124-1165,UNQB72
52380-0540,LEDP01
76519-1017,EIBX41
55154-5698,NCJY50
64038-944,UGMX09
55648-928,VJCF11
53329-101,TRKY08
55910-799,YDFG27
50845-0035,GSJU99
49371-016,NOJU05
0406-9912,VITI55
75835-270,ROST39
0178-0490,NOJR31
49288-0149,SYUS06
43538-172,IBYI37
13734-120,PLRL00
49349-321,URJN24
61919-365,BXBL55
35000-800,WOQH89
0088-1202,UWTN00
37000-126,MQIL52
49035-866,QBME92
52544-920,IKRC67
11523-7170,QPOT54
0078-0627,IJBA75
53746-203,ZVHV86
12462-700,KUCX08
59039-005,MHPR88
63629-3642,PMYH45
49795-227,TSUM65
64679-703,KGMY17
68180-854,LDHZ29
43063-034,FKRE02
0132-0751,ZTYJ62
65841-626,IJET79
42747-221,LDTO48
0536-1018,TLCK41
0591-3591,PEWT10
0904-5633,DCMC05
44911-0021,BFAC83
24385-028,FAXA67
42549-513,KWKN34
37000-826,CFJB65
68016-440,GAVV31
57520-0440,UMLJ50
63629-1513,JKIH31
55289-640,FDKQ65
12488-0600,OOMV64
54868-5055,UHXK05
43857-0049,DXDL00
65084-442,NITD45
58668-6800,VIMT03
51596-004,CRVR96
49348-852,HRVQ81
52125-570,RYZT67
55648-929,EURG59
50563-147,TAWZ37
55312-685,OBNP23
58503-036,XITB38
30056-002,WVFB39
16714-671,VNEI53
0378-1665,MFKO38
36800-950,IKIO33
55154-1493,YKOM63
68391-200,WBRI49
36987-1623,APGY84
24488-033,ALTB03
0053-6233,YRUW64
58394-016,QCJA31
10202-994,PYSQ75
0049-3410,YTWQ35
54868-4976,CKAT33
66336-670,RGWP59
0002-7502,EZEH59
43063-172,UENL61
63868-485,KGPG06
76045-101,XOKB26
52959-892,CWJN35
36987-1160,DEGG54
42291-679,HFKH62
37000-410,QIKM53
61995-6110,WSTQ17
11118-3000,AABA53
10812-812,JNUX47
49035-179,WOBS26
54868-6379,YNEQ41
14961-003,XPVY90
61822-0047,OIYJ14
55319-532,WNYG09
42023-146,VEGN45
55154-6825,BTHQ74
11489-062,BNQX83
11822-0292,ZSNJ53
67172-999,DSFC26
68084-065,DKVP34
52959-011,LTUY93
11084-632,XPTO21
49230-645,INSK74
49643-408,GZGS34
57896-904,XNPV34
10544-586,LQSP61
55154-1054,MBKQ84
49035-166,TKCL61
0942-6483,CYFH06
54868-3997,BPWV71
42507-656,TLJW35
55648-781,FQLK61
49527-760,LLGU34
22912-003,ULTK87
68047-120,MVPM58
55154-6126,TSWU55
55154-3448,AMSW43
48951-4097,RRPQ00
0703-4402,OKZK30
52125-189,UQWO79
62670-4813,MMWG03
52536-252,CPCE81
37205-648,XFNL65
55154-3190,VKWO22
0781-1407,KKRR26
59779-013,TUAH98
50436-7074,PSQV52
55154-1056,TRUN39
54868-4358,IFWU95
62007-009,JTWO06
55312-917,DWIP86
24987-435,IWVH97
57955-5062,HPRQ80
21695-156,FFMH75
17271-501,IRFN97
0372-0036,IPHC30
45802-410,TIEC23
0093-7455,RJSG77
50804-184,TWQC98
76151-231,SNCD60
64578-0080,HLAT17
63255-002,TXMY56
0591-3272,LHDJ67
68828-069,DKZW58
47682-808,DFUY02
0363-0105,ATJA68
35356-986,UTGR57
50563-106,PCYZ29
65121-001,VXIX07
35356-823,MHID46
54569-0313,NMVF47
49288-0432,DCNM75
50268-085,QXDK10
30803-001,GNBD19
52343-063,MLLE95
49738-763,BDWX52
62670-4831,VJYN86
37012-165,XBFT79
55636-590,ZJGI34
17420-0036,LAZZ13
76485-1026,SKWD45
37000-120,FHWD32
39822-1055,XZXM48
49348-279,ZCGR95
49288-0409,LLWT28
0781-5317,GFHW64
55154-9368,IVYG35
51079-284,ZCZA40
64679-992,LWUW84
52125-534,BFZQ16
54868-2742,ZWCX29
41616-221,EKQR09
62802-295,WILW02
54575-422,QOID41
63936-8504,QTTQ45
68462-564,AXMZ19
36987-1516,EZEK63
54973-9150,ASWF07
11673-194,AHVY61
64117-160,KFVU66
52533-025,DZBJ20
51393-7611,POBM42
60505-0005,WKFB79
68180-129,GQLL70
50730-8204,DJZH93
68007-202,BBBZ17
17856-1378,TKIV57
53808-0338,UHRX87
0078-0405,CGKU55
50804-190,HEIG76
50436-9029,EXXL84
50580-536,UATC44
41167-0334,CHUW82
65862-521,LVNP02
0268-2002,CTSK64
58414-3502,UJAA80
42549-660,VRMI55
58118-0513,VVDX88
24385-274,WUBX97
49288-0292,QBUL63
54340-842,DTXN78
41163-417,CWCF43
55316-328,GQYE31
30805-008,MWBG86
64679-154,KJHD37
68788-9892,EAOP97
60505-0848,SUTQ38
60505-0248,JVTZ05
0409-1041,GEEO79
56104-136,FABK29
61657-0251,QDBJ07
49349-737,OPOO61
68828-095,KVNE53
51079-149,BVLB46
65954-531,UXVN94
44237-001,KWZM03
55154-3828,HXCK57
43386-660,ENPA87
0019-9895,RNXO28
65841-717,SDQL59
